Timestamp,Container,CPU_Percentage,Memory_Percentage
08:54:20,lb,0.00%,0.03%
08:54:23,lb,0.00%,0.03%
08:54:25,lb,0.00%,0.03%
08:54:28,lb,0.00%,0.03%
08:54:31,lb,0.00%,0.03%
08:54:33,lb,0.00%,0.03%
08:54:36,lb,0.00%,0.03%
08:54:38,lb,0.00%,0.03%
08:54:41,lb,0.00%,0.03%
08:54:43,lb,0.00%,0.03%
08:54:46,lb,0.00%,0.03%
08:54:48,lb,0.00%,0.03%
08:54:51,lb,0.00%,0.03%
08:54:53,lb,0.00%,0.03%
08:54:56,lb,0.00%,0.03%
08:54:58,lb,0.00%,0.03%
08:55:01,lb,0.00%,0.03%
08:55:03,lb,0.00%,0.03%
08:55:06,lb,0.00%,0.03%
08:55:09,lb,0.00%,0.03%
08:55:11,lb,0.00%,0.03%
08:55:14,lb,0.00%,0.03%
08:55:16,lb,0.00%,0.03%
08:55:19,lb,0.00%,0.03%
08:55:21,lb,0.00%,0.03%
08:55:24,lb,0.00%,0.03%
08:55:26,lb,0.00%,0.03%
08:55:29,lb,0.00%,0.03%
08:55:31,lb,0.00%,0.03%
08:55:34,lb,0.00%,0.03%
08:55:36,lb,0.00%,0.03%
08:55:39,lb,0.00%,0.03%
08:55:41,lb,0.00%,0.03%
08:55:44,lb,0.00%,0.03%
08:55:46,lb,0.00%,0.03%
08:55:49,lb,31.57%,0.10%
08:55:52,lb,37.82%,0.12%
08:55:54,lb,37.05%,0.12%
08:55:57,lb,36.81%,0.12%
08:55:59,lb,37.47%,0.13%
08:56:02,lb,37.60%,0.13%
08:56:04,lb,37.34%,0.13%
08:56:07,lb,37.54%,0.13%
08:56:09,lb,38.07%,0.13%
08:56:12,lb,37.49%,0.13%
08:56:14,lb,37.41%,0.13%
08:56:17,lb,36.99%,0.13%
08:56:20,lb,38.43%,0.13%
08:56:22,lb,37.20%,0.13%
08:56:25,lb,37.65%,0.13%
08:56:27,lb,39.39%,0.13%
08:56:30,lb,121.32%,0.13%
08:56:32,lb,138.66%,0.13%
08:56:35,lb,161.97%,0.13%
08:56:37,lb,134.66%,0.13%
08:56:40,lb,161.67%,0.13%
08:56:42,lb,135.88%,0.13%
08:56:45,lb,196.05%,0.13%
08:56:48,lb,247.18%,0.13%
08:56:50,lb,12.38%,0.11%
08:56:53,lb,1.63%,0.10%
08:56:55,lb,0.00%,0.10%
08:56:58,lb,0.00%,0.10%
08:57:00,lb,0.04%,0.10%
08:57:03,lb,0.00%,0.10%
08:57:05,lb,0.00%,0.10%
08:57:08,lb,0.23%,0.10%
08:57:10,lb,0.00%,0.09%
08:57:13,lb,0.07%,0.09%
08:57:15,lb,0.00%,0.09%
08:57:18,lb,0.00%,0.09%
08:57:21,lb,0.00%,0.08%
08:57:23,lb,0.00%,0.08%
08:57:26,lb,0.00%,0.08%
08:57:28,lb,0.00%,0.08%
08:57:31,lb,0.00%,0.08%
08:57:33,lb,0.00%,0.08%
08:57:36,lb,0.00%,0.08%
08:57:38,lb,0.00%,0.08%
08:57:41,lb,0.00%,0.08%
08:57:43,lb,0.00%,0.08%
08:57:46,lb,0.00%,0.08%
08:57:48,lb,0.00%,0.08%
08:57:51,lb,0.00%,0.08%
08:57:53,lb,0.00%,0.08%
08:57:56,lb,0.00%,0.08%
08:57:59,lb,0.00%,0.08%
08:58:01,lb,0.00%,0.08%
08:58:04,lb,0.00%,0.08%
08:58:06,lb,0.00%,0.08%
08:58:09,lb,0.00%,0.08%
08:58:11,lb,0.00%,0.08%
08:58:14,lb,0.00%,0.08%
08:58:16,lb,0.00%,0.08%
08:58:19,lb,0.00%,0.08%
08:58:21,lb,0.00%,0.08%
08:58:24,lb,0.00%,0.08%
08:58:26,lb,0.00%,0.08%
08:58:29,lb,0.00%,0.08%
08:58:31,lb,0.00%,0.08%
08:58:34,lb,0.00%,0.08%
08:58:36,lb,0.00%,0.08%
08:58:39,lb,0.00%,0.08%
08:58:42,lb,0.00%,0.08%
08:58:44,lb,0.00%,0.08%
08:58:47,lb,0.00%,0.08%
08:58:49,lb,0.00%,0.08%
08:58:52,lb,0.00%,0.08%
08:58:54,lb,0.00%,0.08%
08:58:57,lb,0.00%,0.08%
08:58:59,lb,0.00%,0.08%
08:59:02,lb,0.00%,0.08%
08:59:04,lb,0.00%,0.08%
08:59:07,lb,0.00%,0.08%
08:59:09,lb,0.00%,0.08%
08:59:12,lb,0.00%,0.08%
08:59:14,lb,0.00%,0.08%
08:59:17,lb,0.00%,0.08%
